Career,Step,Topic,Why_Learn,Free_Course,Certificate,YouTube,Level,Project
Data Analyst,1,Excel,Basic data handling,Microsoft Learn,Yes,ExcelIsFun,Beginner,Student marks analysis
Data Analyst,2,SQL,Database querying,Mode SQL Tutorial,No,Alex The Analyst,Beginner,Sales database analysis
Data Analyst,3,Python,Data analysis automation,Kaggle Python,Yes,CodeWithHarry,Beginner,IPL data analysis
Data Analyst,4,Pandas,Data cleaning and manipulation,Kaggle Pandas,Yes,Corey Schafer,Intermediate,Netflix dataset cleaning
Data Analyst,5,Power BI,Dashboard building,Microsoft Learn,Yes,Data Tutorials,Intermediate,Sales dashboard
Data Scientist,1,Python,Programming foundation,Kaggle Python,Yes,CodeWithHarry,Beginner,Iris data analysis
Data Scientist,2,Statistics,Data understanding,Khan Academy,No,StatQuest,Beginner,Student performance analysis
Data Scientist,3,Pandas,Data manipulation,Kaggle Pandas,Yes,Corey Schafer,Intermediate,EDA project
Data Scientist,4,Machine Learning,Prediction models,Kaggle ML,Yes,Krish Naik,Intermediate,House price prediction
Data Scientist,5,Deep Learning,Advanced AI,Coursera,Yes,freeCodeCamp,Advanced,Image classifier
AI Engineer,1,Python,AI foundation,Kaggle Python,Yes,CodeWithHarry,Beginner,AI chatbot
AI Engineer,2,Machine Learning,AI models,Kaggle ML,Yes,Krish Naik,Intermediate,Prediction model
AI Engineer,3,Deep Learning,Neural networks,freeCodeCamp,No,CampusX,Advanced,CNN classifier
AI Engineer,4,NLP,Text AI,Coursera,Yes,Krish Naik,Advanced,Resume analyzer
AI Engineer,5,LLM,Modern AI apps,IBM SkillsBuild,Yes,IBM Technology,Advanced,RAG chatbot
Web Developer,1,HTML,Website structure,freeCodeCamp,Yes,CodeWithHarry,Beginner,Portfolio website
Web Developer,2,CSS,Website design,freeCodeCamp,Yes,Kevin Powell,Beginner,Landing page
Web Developer,3,JavaScript,Website logic,freeCodeCamp,Yes,Chai aur Code,Intermediate,Quiz app
Web Developer,4,React,Modern frontend,Meta Course,Yes,CodeWithHarry,Intermediate,Dashboard app
Web Developer,5,Node.js,Backend development,freeCodeCamp,No,Thapa Technical,Advanced,Full stack app
Cyber Security Analyst,1,Networking,Security basics,Cisco Skills For All,Yes,NetworkChuck,Beginner,Network scanner
Cyber Security Analyst,2,Linux,System security,Cisco Skills For All,Yes,David Bombal,Beginner,Linux commands project
Cyber Security Analyst,3,Python,Security automation,Kaggle Python,Yes,CodeWithHarry,Intermediate,Port scanner
Cyber Security Analyst,4,Ethical Hacking,Security testing,EC Council Intro,Yes,The Cyber Mentor,Intermediate,Vulnerability report
Cyber Security Analyst,5,SIEM,Threat monitoring,IBM SkillsBuild,Yes,IBM Technology,Advanced,Log analysis
Cloud Engineer,1,Linux,Cloud server basics,Cisco Skills For All,Yes,NetworkChuck,Beginner,Linux server setup
Cloud Engineer,2,AWS,Cloud platform,AWS Skill Builder,Yes,FreeCodeCamp,Beginner,Host website on AWS
Cloud Engineer,3,Docker,Containerization,Docker Docs,No,TechWorld with Nana,Intermediate,Dockerize Flask app
Cloud Engineer,4,Kubernetes,Cloud orchestration,Kubernetes Docs,No,TechWorld with Nana,Advanced,K8s deployment
